modified a workflow state,modificou uma etapa
Zero means send records updated at anytime,Zero significa enviar registros atualizados a qualquer momento
Zero,Zero
"Your session has expired, please login again to continue.","Sua sessão expirou, faça o login novamente para continuar."
"Your query has been received. We will reply back shortly. If you have any additional information, please reply to this mail.","Sua consulta foi recebida. Nós responderemos de volta em breve. Se você tiver qualquer informação adicional, por favor responda a este email."
Your payment was successfully accepted,Seu pagamento foi aceito com sucesso
Your payment is cancelled.,Seu pagamento está cancelado.
Your payment has failed.,O seu pagamento falhou.
Your payment has been successfully registered.,Seu pagamento foi registrado com sucesso.
Your organization name and address for the email footer.,Nome da empresa e endereço para o rodapé do email.
Your login id is,Sua identificação de acesso é
Your information has been submitted,Suas informações foram enviadas
Your connection request to Google Calendar was successfully accepted,Sua solicitação de conexão ao Google Agenda foi aceita com sucesso
Your account has been locked and will resume after {0} seconds,Sua conta foi bloqueada e será retomada após {0} segundos
Your Name,Seu Nome
Your Language,Seu Idioma
Your Country,Seu País
You unfollowed this document,Você deixou de seguir este documento
You selected Draft or Cancelled documents,Você selecionou documentos preliminares ou cancelados
You need write permission to rename,Você precisa escrever permissão para renomear
"You need to have ""Share"" permission","Você precisa ter a permissão ""Compartilhar"""
You need to be logged in to access this {0}.,Você precisa estar logado para acessar esta {0}.
You need to be logged in and have System Manager Role to be able to access backups.,Você precisa estar conectado e ter permissão para ser capaz de acessar backups.
You need to be in developer mode to edit a Standard Web Form,Você precisa estar no modo de desenvolvedor para editar um Formulário Web Padrão
You must login to submit this form,Você precisa estar logado para enviar este formulário
You have unsaved changes in this form. Please save before you continue.,Você tem alterações não salvas neste formulário.
You have been successfully logged out,Você saiu do sistema com sucesso
You have a new message from:,Você tem uma nova mensagem de:
You gained {0} points,Você ganhou {0} pontos
You gained {0} point,Você ganhou {0} ponto
You don't have the permissions to access this document,Você não tem as permissões para acessar este documento
You don't have permission to get a report on: {0},Você não tem permissão para acessar um relatório sobre: {0}
You don't have permission to access this file,Você não tem permissão para acessar este arquivo
You don't have any messages yet.,Ainda não tem nenhuma mensagem.
You don't have access to Report: {0},Você não tem acesso ao Relatório: {0}
You do not have enough review points,Você não tem pontos de revisão suficientes
You do not have enough points,Você não tem pontos suficientes
You do not have enough permissions to complete the action,Você não tem permissão suficiente para completar a ação
You do not have enough permissions to access this resource. Please contact your manager to get access.,"Você não tem permissão suficiente para acessar este recurso. Por favor, contate o administrador para ter acesso."
You cannot unset 'Read Only' for field {0},"Você não pode desabilitar ""Somente leitura"" para o campo {0}"
You cannot give review points to yourself,Você não pode dar pontos de avaliação para si mesmo
You can't set 'Translatable' for field {0},Você não pode configurar &#39;Traduzível&#39; para o campo {0}
You can't set 'Options' for field {0},Você não pode configurar &#39;Opções&#39; para o campo {0}
You can use wildcard %,Você pode usar o coringa %
You can use Customize Form to set levels on fields.,"Você pode usar ""Personalizar Formulário"" para definir os níveis de campos."
You can only upload upto 5000 records in one go. (may be less in some cases),Você só pode fazer upload de até 5.000 registros de uma só vez. (Este valor pode vir a ser inferior em alguns casos)
You can find things by asking 'find orange in customers',"Você pode encontrar as coisas pedindo ""encontrar fulano em clientes"""
"You can change Submitted documents by cancelling them and then, amending them.",Você pode alterar documentos cancelados
You can also copy-paste this,Você também pode copiar e colar
You can add dynamic properties from the document by using Jinja templating.,Você pode adicionar propriedades dinâmicas do documento usando Jinja templates.
You are now following this document. You will receive daily updates via email. You can change this in User Settings.,Você está seguindo este documento agora. Você receberá atualizações diárias via e-mail. Você pode alterar isso nas configurações do usuário.
You are not permitted to view the newsletter.,Você não tem permissão para visualizar a newsletter.
You are not permitted to access this page.,Você não tem permissão para acessar esta página.
You are not connected to Internet. Retry after sometime.,Você não está conectado à Internet. Tente novamente após algum tempo.
You are not allowed to update this Web Form Document,Você não tem permissão para atualizar esse formulário Documento Web
You are not allowed to send emails related to this document,Você não tem permissão para enviar emails relacionados a este documento
You are not allowed to print this report,Você não tem permissão para imprimir este relatório
You are not allowed to print this document,Você não tem permissão para imprimir este documento
You are not allowed to delete a standard Website Theme,Você não tem permissão para excluir um site Tema padrão
You are not allowed to create columns,Você não tem permissão para criar colunas
You are connected to internet.,Você está conectado à internet.
Yesterday,Ontem
Yandex.Mail,Yandex.Mail
Yahoo Mail,Email do Yahoo
Y Axis Fields,Campos do eixo Y
XLSX,XLSX
X Axis Field,Campo do eixo X
Wrong fieldname {0} in add_fetch configuration of custom script,Nome de campo errado <b>{0}</b> na configuração add_fetch do script personalizado
Write,Escrever
Workflow state represents the current state of a document.,O Status do Fluxo de Trabalho representa o status atual de um documento.
Workflow Transition,Transição do Fluxo de Trabalho
Workflow State not set,Estado do fluxo de trabalho não definido
Workflow State Field,Campo do Status do Fluxo de Trabalho
Workflow State,Status do Fluxo de Trabalho
Workflow Name,Nome do Fluxo de Trabalho
Workflow Document State,Status do Documento do Fluxo de Trabalho
Workflow Action Name,Nome da Ação do Fluxo de Trabalho
Workflow Action Master,Cadastro de Ação do Fluxo de Trabalho
Workflow Action,Ação do Fluxo de Trabalho
With Letterhead,Com timbrado
With Letter head,Com cabeçalho
Will only be shown if section headings are enabled,só será mostrado se títulos de seção estão habilitados
Will be your login ID,Será seu ID de login
Will be used in url (usually first name).,Será utilizado na url (geralmente o primeiro nome).
Widths can be set in px or %.,Larguras podem ser definidas em px ou %.
Width,Largura
"When you Amend a document after Cancel and save it, it will get a new number that is a version of the old number.","Quando você Corrigir um documento depois de Cancelar e salvá-lo, ele irá obter um novo número que é uma versão do número antigo."
Welcome Message,Mensagem de Boas-Vindas
Website User,Usuário do Site
Website Theme Image Link,Link da Imagem do Tema do Site
Website Theme Image,Imagem do Tema do Site
Website Theme,Tema do Site
Website Slideshow Item,Item do Slideshow do Site
Website Slideshow,Slideshow do Site
Website Sidebar Item,Item do Menu Lateral do Site
Website Sidebar,Menu Lateral do Site
Website Script,Script do Site
Website Route Redirect,Redirecionamento de Rota do Site
Website Route Meta,Meta Rota do Site
Website Meta Tag,Meta Tag do Site
Webhooks calling API requests into web apps,Webhooks chamando pedidos de API em aplicativos da web
Webhook URL,URL do Webhook
Webhook Request,Pedido Webhook
Webhook Headers,Cabeçalhos Webhook
Webhook Header,Cabeçalho Webhook
Webhook Data,Webhook Data
Webhook,Webhook
Web View,web View
Web Site,Web Site
Web Page Link Text,Link de Texto para Página Web
Web Page,Página Web
Web Form Fields,Campos de formulário Web
Web Form Field,Campo de Formulário Web
Web Form,Formulário Web
We have received a request from you to download your {0} data associated with: {1},Recebemos uma solicitação sua para fazer o download de seus {0} dados associados a: {1}
We have received a request for deletion of {0} data associated with: {1},Recebemos uma solicitação para exclusão de {0} dados associados a: {1}
Visitor,Visitante
Visit,Visita
Viewed By,Visto por
View {0},Ver {0}
View this in your browser,Veja isto no seu navegador
View report in your browser,Exibir relatório no seu navegador
View document,Ver documento
View Website,Ver  Site
View Settings,Ver Definições
View Properties (via Customize Form),Exibir Propriedades (via Personalizar Formulário)
View Permitted Documents,Ver documentos permitidos
View Log,Visualizar log
View List,Ver Lista
View Comment,Ver comentário
View All,Ver tudo
Version Updated,Atualização da versão
Version,Versão
Verifying...,Verificando...
Verify Password,Verifique a Senha
Verify,Verificar
Verification code has been sent to your registered email address.,O código de verificação foi enviado para o seu endereço de e-mail registrado.
Verification Link,Link de verificação
Verfication Code,Código de Verificação
Verdana,Verdana
Values Changed,Valores Alterados
Value too big,Valor muito grande
Value missing for,Valor em falta para
Value for {0} cannot be a list,Valor para {0} não pode ser uma lista
Value for a check field can be either 0 or 1,Valor para um campo de verificação pode ser 0 ou 1
Value cannot be changed for {0},Valor não pode ser alterado para {0}
Value To Be Set,Valor a ser definido
Value Changed,Valor Alterado
Value Change,Mudança de Valor
Value Based On,Valor Baseado em
Valid email and name required,É necessário email válido e nome
Valid Login id required.,É necessário um usuário válido.
Valid,Válido
Uses the Email Address mentioned in this Account as the Sender for all emails sent using this Account.,Usa o endereço de e-mail mencionado nesta conta como o remetente para todos os e-mails enviados usando essa conta.
Uses the Email Address Name mentioned in this Account as the Sender's Name for all emails sent using this Account.,Usa o nome do endereço de e-mail mencionado nesta conta como o nome do remetente para todos os e-mails enviados usando esta conta.
Users with role {0}:,Os usuários com a função {0}:
Username {0} already exists,O nome de usuário {0} já existe
Username,Nome de Usuário
User {0} does not have doctype access via role permission for document {1},O usuário {0} não tem acesso ao tipo de documento via permissão de função para o documento {1}
User {0} does not have access to this document,O usuário {0} não tem acesso a este documento
User {0} cannot be renamed,O usuário {0} não pode ser renomeado
User {0} cannot be disabled,O usuário {0} não pode ser desativado
User {0} cannot be deleted,O usuário {0} não pode ser excluído
User permissions should not apply for this Link,As permissões de usuário não deve candidatar-se a este link
User permission already exists,A permissão do usuário já existe
User not allowed to delete {0}: {1},Usuário não tem permissão para excluir {0}: {1}
User is mandatory for Share,Usuário é obrigatória para Partilhar
User editable form on Website.,Formato editável do usuário no site.
User can login using Email id or User Name,O usuário pode fazer login usando o ID de e-mail ou o Nome de usuário
User can login using Email id or Mobile number,O usuário pode efetuar login usando a ID do e-mail ou o número do celular
User Type,Tipo de Usuário
User Tags,Etiquetas de Usuários
User Social Login,Login Social do Usuário
User Roles,Funções do Usuário
User Permissions created sucessfully,Permissões de usuário criadas com sucesso
